playerId,tournamentId,hole,par,score
82,30,18,4,4
224,30,1,3,3
224,30,2,4,4
224,30,3,4,5
224,30,4,4,5
224,30,5,3,3
224,30,6,5,4
224,30,7,5,4
224,30,8,4,5
224,30,9,3,3
224,30,10,4,4
224,30,11,5,4
224,30,12,3,3
224,30,13,4,4
224,30,14,4,4
224,30,15,4,4
224,30,16,4,3
224,30,17,4,4
224,30,18,4,3
224,30,1,3,4
224,30,2,4,4
224,30,3,4,4
224,30,4,4,4
224,30,5,3,6
224,30,6,5,4
224,30,7,5,4
224,30,8,4,4
224,30,9,3,3
224,30,10,4,3
224,30,11,5,5
224,30,12,3,2
224,30,13,4,4
224,30,14,4,4
224,30,15,4,4
224,30,16,4,4
224,30,17,4,4
224,30,18,4,5
224,30,1,3,3
224,30,2,4,3
224,30,3,4,4
224,30,4,4,4
224,30,5,3,3
224,30,6,5,4
224,30,7,5,4
224,30,8,4,4
224,30,9,3,3
224,30,10,4,4
224,30,11,5,6
224,30,12,3,3
224,30,13,4,4
224,30,14,4,3
224,30,15,4,4
224,30,16,4,3
224,30,17,4,5
224,30,18,4,3
224,30,1,3,2
224,30,2,4,5
224,30,3,4,4
224,30,4,4,4
224,30,5,3,3
224,30,6,5,4
224,30,7,5,5
224,30,8,4,4
224,30,9,3,3
224,30,10,4,4
224,30,11,5,4
224,30,12,3,3
224,30,13,4,3
224,30,14,4,5
224,30,15,4,5
224,30,16,4,4
224,30,17,4,4
224,30,18,4,4
261,30,1,3,4
261,30,2,4,3
261,30,3,4,4
261,30,4,4,5
261,30,5,3,3
261,30,6,5,5
261,30,7,5,4
261,30,8,4,5
261,30,9,3,3
261,30,10,4,5
261,30,11,5,5
261,30,12,3,3
261,30,13,4,3
261,30,14,4,3
261,30,15,4,4
261,30,16,4,4
261,30,17,4,4
261,30,18,4,4
261,30,1,3,3
261,30,2,4,3
261,30,3,4,4
261,30,4,4,4
261,30,5,3,3
261,30,6,5,5
261,30,7,5,5
261,30,8,4,5
261,30,9,3,2
261,30,10,4,5
261,30,11,5,4
261,30,12,3,2
261,30,13,4,4
261,30,14,4,4
261,30,15,4,4
261,30,16,4,4
261,30,17,4,4
261,30,18,4,4
261,30,1,3,2
261,30,2,4,4
261,30,3,4,5
261,30,4,4,4
261,30,5,3,3
261,30,6,5,4
261,30,7,5,4
261,30,8,4,4
261,30,9,3,3
261,30,10,4,3
261,30,11,5,4
261,30,12,3,3
261,30,13,4,4
261,30,14,4,3
261,30,15,4,4
261,30,16,4,4
261,30,17,4,4
261,30,18,4,5
261,30,1,3,3
261,30,2,4,4
261,30,3,4,4
